Data,Novos Casos,Internados,UCI
26-02-2020,0,0,0
27-02-2020,0,0,0
28-02-2020,0,0,0
29-02-2020,0,0,0
01-03-2020,0,0,0
02-03-2020,2,0,0
03-03-2020,2,0,0
04-03-2020,2,0,0
05-03-2020,3,-9,0
06-03-2020,4,-13,0
07-03-2020,8,-21,0
08-03-2020,9,-30,0
09-03-2020,9,-38,0
10-03-2020,2,-40,0
11-03-2020,18,-57,0
12-03-2020,19,-69,0
13-03-2020,34,-107,0
14-03-2020,57,-114,-10
15-03-2020,76,-139,-9
16-03-2020,86,-139,-18
17-03-2020,117,-206,-17
18-03-2020,194,-89,-20
19-03-2020,143,-89,-20
20-03-2020,235,-126,-26
21-03-2020,260,-156,-35
22-03-2020,320,-169,-41
23-03-2020,460,-201,-47
24-03-2020,302,-203,-48
25-03-2020,633,-276,-61
26-03-2020,549,-191,-61
27-03-2020,724,-354,-71
28-03-2020,902,-418,-89
29-03-2020,792,-486,-138
30-03-2020,446,-571,-164
31-03-2020,1035,-627,-188
01-04-2020,808,-726,-230
02-04-2020,783,-1042,-240
03-04-2020,852,-1058,-245
04-04-2020,638,-1075,-251
05-04-2020,754,-1084,-267
06-04-2020,452,-1099,-270
07-04-2020,712,-1180,-271
08-04-2020,699,-1211,-245
09-04-2020,815,-1173,-241
10-04-2020,1516,-1179,-226
11-04-2020,515,-1175,-233
12-04-2020,598,-1177,-228
13-04-2020,349,-1187,-188
14-04-2020,514,-1227,-218
15-04-2020,643,-1200,-208
16-04-2020,750,-1302,-229
17-04-2020,181,-1284,-222
18-04-2020,663,-1253,-228
19-04-2020,521,-1243,-224
20-04-2020,657,-1208,-215
21-04-2020,516,-1172,-213
22-04-2020,603,-1146,-207
23-04-2020,371,-1095,-204
24-04-2020,444,-1068,-188
25-04-2020,474,-1040,-186
26-04-2020,412,-1005,-182
27-04-2020,163,-995,-176
28-04-2020,295,-936,-172
29-04-2020,183,-980,-169
30-04-2020,368,-968,-172
01-05-2020,295,-892,-154
02-05-2020,203,-855,-150
03-05-2020,92,-856,-144
04-05-2020,242,-813,-143
05-05-2020,178,-818,-134
06-05-2020,480,-838,-136
07-05-2020,533,-874,-135
08-05-2020,553,-842,-127
09-05-2020,138,-815,-120
10-05-2020,175,-797,-112
11-05-2020,98,-805,-112
12-05-2020,234,-709,-113
13-05-2020,219,-692,-103
14-05-2020,187,-680,-108
15-05-2020,264,-673,-112
16-05-2020,227,-657,-115
17-05-2020,226,-649,-108
18-05-2020,173,-628,-105
19-05-2020,223,-629,-101
20-05-2020,228,-609,-93
21-05-2020,252,-608,-92
22-05-2020,288,-576,-84
23-05-2020,271,-550,-80
24-05-2020,152,-536,-78
25-05-2020,165,-531,-72
26-05-2020,219,-513,-71
27-05-2020,285,-510,-66
28-05-2020,304,-512,-65
29-05-2020,350,-529,-66
30-05-2020,257,-514,-63
31-05-2020,297,-474,-64
01-06-2020,200,-471,-64
02-06-2020,195,-432,-58
03-06-2020,366,-428,-56
04-06-2020,331,-445,-58
05-06-2020,377,-421,-58
06-06-2020,382,-414,-57
07-06-2020,342,-398,-58
08-06-2020,192,-366,-55
09-06-2020,421,-394,-65
10-06-2020,294,-417,-70
11-06-2020,310,-415,-70
12-06-2020,270,-440,-73
13-06-2020,283,-428,-77
14-06-2020,227,-419,-73
15-06-2020,346,-431,-73
16-06-2020,300,-423,-71
17-06-2020,336,-435,-69
18-06-2020,417,-416,-67
19-06-2020,375,-422,-67
20-06-2020,377,-422,-70
21-06-2020,292,-407,-69
22-06-2020,259,-424,-72
23-06-2020,345,-441,-72
24-06-2020,367,-429,-73
25-06-2020,311,-436,-67
26-06-2020,451,-457,-67
27-06-2020,323,-442,-70
28-06-2020,457,-458,-75
29-06-2020,266,-489,-71
30-06-2020,259,-491,-73
01-07-2020,352,-503,-79
02-07-2020,378,-510,-77
03-07-2020,455,-495,-72
04-07-2020,413,-489,-73
05-07-2020,328,-504,-73
06-07-2020,232,-513,-74
07-07-2020,287,-511,-76
08-07-2020,443,-512,-74
09-07-2020,418,-487,-73
10-07-2020,402,-471,-66
11-07-2020,342,-459,-68
12-07-2020,291,-462,-64
13-07-2020,306,-467,-63
14-07-2020,233,-472,-69
